Localidad;PR;nivel_confianza;ic_inferior;ic_superior;p_valor;sintoma
BARRIOS UNIDOS;1.01;90%;0.7;1.45;0.976;Sibilancias
BARRIOS UNIDOS;1.01;95%;0.65;1.55;0.976;Sibilancias
BARRIOS UNIDOS;1.01;99%;0.57;1.77;0.976;Sibilancias
BOSA;0.58;90%;0.45;0.74;0.0003;Sibilancias
BOSA;0.58;95%;0.43;0.78;0.0003;Sibilancias
BOSA;0.58;99%;0.39;0.85;0.0003;Sibilancias
CIUDAD BOLIVAR;1.1;90%;0.93;1.31;0.3431;Sibilancias
CIUDAD BOLIVAR;1.1;95%;0.9;1.35;0.3431;Sibilancias
CIUDAD BOLIVAR;1.1;99%;0.84;1.44;0.3431;Sibilancias
ENGATIVA;1.21;90%;1.0;1.47;0.0953;Sibilancias
ENGATIVA;1.21;95%;0.97;1.52;0.0953;Sibilancias
ENGATIVA;1.21;99%;0.9;1.63;0.0953;Sibilancias
FONTIBON;1.01;90%;0.77;1.33;0.9505;Sibilancias
FONTIBON;1.01;95%;0.73;1.4;0.9505;Sibilancias
FONTIBON;1.01;99%;0.66;1.55;0.9505;Sibilancias
KENNEDY;0.66;90%;0.54;0.82;0.0015;Sibilancias
KENNEDY;0.66;95%;0.52;0.86;0.0015;Sibilancias
KENNEDY;0.66;99%;0.48;0.93;0.0015;Sibilancias
PUENTE ARANDA;0.42;90%;0.25;0.71;0.0064;Sibilancias
PUENTE ARANDA;0.42;95%;0.23;0.79;0.0064;Sibilancias
PUENTE ARANDA;0.42;99%;0.19;0.95;0.0064;Sibilancias
SAN CRISTOBAL;0.85;90%;0.65;1.11;0.3111;Sibilancias
SAN CRISTOBAL;0.85;95%;0.62;1.17;0.3111;Sibilancias
SAN CRISTOBAL;0.85;99%;0.56;1.29;0.3111;Sibilancias
SANTA FE;1.13;90%;0.83;1.53;0.5237;Sibilancias
SANTA FE;1.13;95%;0.78;1.62;0.5237;Sibilancias
SANTA FE;1.13;99%;0.7;1.82;0.5237;Sibilancias
SUBA;1.47;90%;1.27;1.69;0.0;Sibilancias
SUBA;1.47;95%;1.24;1.74;0.0;Sibilancias
SUBA;1.47;99%;1.17;1.83;0.0;Sibilancias
TUNJUELITO;0.74;90%;0.52;1.05;0.156;Sibilancias
TUNJUELITO;0.74;95%;0.48;1.12;0.156;Sibilancias
TUNJUELITO;0.74;99%;0.42;1.28;0.156;Sibilancias
USAQUEN;1.33;90%;1.04;1.72;0.0585;Sibilancias
USAQUEN;1.33;95%;0.99;1.8;0.0585;Sibilancias
USAQUEN;1.33;99%;0.9;1.98;0.0585;Sibilancias
USME;1.16;90%;0.94;1.44;0.2477;Sibilancias
USME;1.16;95%;0.9;1.5;0.2477;Sibilancias
USME;1.16;99%;0.83;1.62;0.2477;Sibilancias
BARRIOS UNIDOS;1.01;90%;0.72;1.43;0.9555;Tos
BARRIOS UNIDOS;1.01;95%;0.67;1.52;0.9555;Tos
BARRIOS UNIDOS;1.01;99%;0.59;1.73;0.9555;Tos
BOSA;0.08;90%;0.04;0.15;0.0;Tos
BOSA;0.08;95%;0.04;0.17;0.0;Tos
BOSA;0.08;99%;0.03;0.22;0.0;Tos
CIUDAD BOLIVAR;1.13;90%;0.96;1.33;0.2142;Tos
CIUDAD BOLIVAR;1.13;95%;0.93;1.37;0.2142;Tos
CIUDAD BOLIVAR;1.13;99%;0.88;1.45;0.2142;Tos
ENGATIVA;1.64;90%;1.4;1.92;0.0;Tos
ENGATIVA;1.64;95%;1.36;1.98;0.0;Tos
ENGATIVA;1.64;99%;1.28;2.1;0.0;Tos
FONTIBON;0.15;90%;0.08;0.3;0.0;Tos
FONTIBON;0.15;95%;0.07;0.34;0.0;Tos
FONTIBON;0.15;99%;0.05;0.44;0.0;Tos
KENNEDY;0.13;90%;0.08;0.2;0.0;Tos
KENNEDY;0.13;95%;0.07;0.22;0.0;Tos
KENNEDY;0.13;99%;0.06;0.26;0.0;Tos
PUENTE ARANDA;0.08;90%;0.02;0.25;0.0003;Tos
PUENTE ARANDA;0.08;95%;0.02;0.31;0.0003;Tos
PUENTE ARANDA;0.08;99%;0.01;0.48;0.0003;Tos
SAN CRISTOBAL;0.98;90%;0.77;1.24;0.8835;Tos
SAN CRISTOBAL;0.98;95%;0.74;1.3;0.8835;Tos
SAN CRISTOBAL;0.98;99%;0.68;1.42;0.8835;Tos
SANTA FE;0.92;90%;0.66;1.27;0.6669;Tos
SANTA FE;0.92;95%;0.62;1.35;0.6669;Tos
SANTA FE;0.92;99%;0.55;1.53;0.6669;Tos
SUBA;1.88;90%;1.67;2.13;0.0;Tos
SUBA;1.88;95%;1.63;2.18;0.0;Tos
SUBA;1.88;99%;1.56;2.28;0.0;Tos
TUNJUELITO;1.12;90%;0.85;1.47;0.4962;Tos
TUNJUELITO;1.12;95%;0.81;1.55;0.4962;Tos
TUNJUELITO;1.12;99%;0.73;1.72;0.4962;Tos
USAQUEN;1.8;90%;1.47;2.21;0.0;Tos
USAQUEN;1.8;95%;1.41;2.3;0.0;Tos
USAQUEN;1.8;99%;1.31;2.48;0.0;Tos
USME;1.75;90%;1.48;2.07;0.0;Tos
USME;1.75;95%;1.44;2.14;0.0;Tos
USME;1.75;99%;1.35;2.27;0.0;Tos
BARRIOS UNIDOS;0.85;90%;0.69;1.05;0.2078;Congestión nasal
BARRIOS UNIDOS;0.85;95%;0.66;1.09;0.2078;Congestión nasal
BARRIOS UNIDOS;0.85;99%;0.61;1.18;0.2078;Congestión nasal
BOSA;1.13;90%;1.03;1.24;0.0352;Congestión nasal
BOSA;1.13;95%;1.01;1.26;0.0352;Congestión nasal
BOSA;1.13;99%;0.97;1.31;0.0352;Congestión nasal
CIUDAD BOLIVAR;1.0;90%;0.91;1.1;0.9485;Congestión nasal
CIUDAD BOLIVAR;1.0;95%;0.9;1.12;0.9485;Congestión nasal
CIUDAD BOLIVAR;1.0;99%;0.87;1.16;0.9485;Congestión nasal
ENGATIVA;0.92;90%;0.82;1.03;0.2087;Congestión nasal
ENGATIVA;0.92;95%;0.8;1.05;0.2087;Congestión nasal
ENGATIVA;0.92;99%;0.76;1.1;0.2087;Congestión nasal
FONTIBON;1.06;90%;0.92;1.22;0.511;Congestión nasal
FONTIBON;1.06;95%;0.9;1.25;0.511;Congestión nasal
FONTIBON;1.06;99%;0.85;1.32;0.511;Congestión nasal
KENNEDY;1.12;90%;1.03;1.22;0.0283;Congestión nasal
KENNEDY;1.12;95%;1.01;1.24;0.0283;Congestión nasal
KENNEDY;1.12;99%;0.98;1.28;0.0283;Congestión nasal
PUENTE ARANDA;1.61;90%;1.42;1.84;0.0;Congestión nasal
PUENTE ARANDA;1.61;95%;1.38;1.88;0.0;Congestión nasal
PUENTE ARANDA;1.61;99%;1.32;1.98;0.0;Congestión nasal
SAN CRISTOBAL;0.51;90%;0.43;0.62;0.0;Congestión nasal
SAN CRISTOBAL;0.51;95%;0.41;0.64;0.0;Congestión nasal
SAN CRISTOBAL;0.51;99%;0.38;0.69;0.0;Congestión nasal
SANTA FE;0.56;90%;0.45;0.72;0.0001;Congestión nasal
SANTA FE;0.56;95%;0.43;0.75;0.0001;Congestión nasal
SANTA FE;0.56;99%;0.39;0.82;0.0001;Congestión nasal
SUBA;1.01;90%;0.92;1.1;0.9073;Congestión nasal
SUBA;1.01;95%;0.9;1.12;0.9073;Congestión nasal
SUBA;1.01;99%;0.88;1.16;0.9073;Congestión nasal
TUNJUELITO;0.79;90%;0.66;0.95;0.038;Congestión nasal
TUNJUELITO;0.79;95%;0.64;0.99;0.038;Congestión nasal
TUNJUELITO;0.79;99%;0.6;1.06;0.038;Congestión nasal
USAQUEN;0.91;90%;0.78;1.07;0.3535;Congestión nasal
USAQUEN;0.91;95%;0.75;1.11;0.3535;Congestión nasal
USAQUEN;0.91;99%;0.71;1.18;0.3535;Congestión nasal
USME;1.21;90%;1.08;1.34;0.0046;Congestión nasal
USME;1.21;95%;1.06;1.37;0.0046;Congestión nasal
USME;1.21;99%;1.02;1.43;0.0046;Congestión nasal
BARRIOS UNIDOS;0.91;90%;0.79;1.06;0.3111;Todos
BARRIOS UNIDOS;0.91;95%;0.77;1.09;0.3111;Todos
BARRIOS UNIDOS;0.91;99%;0.73;1.15;0.3111;Todos
BOSA;0.8;90%;0.74;0.87;0.0;Todos
BOSA;0.8;95%;0.73;0.89;0.0;Todos
BOSA;0.8;99%;0.71;0.91;0.0;Todos
CIUDAD BOLIVAR;1.05;90%;0.98;1.12;0.2249;Todos
CIUDAD BOLIVAR;1.05;95%;0.97;1.13;0.2249;Todos
CIUDAD BOLIVAR;1.05;99%;0.95;1.16;0.2249;Todos
ENGATIVA;1.12;90%;1.05;1.21;0.0077;Todos
ENGATIVA;1.12;95%;1.03;1.23;0.0077;Todos
ENGATIVA;1.12;99%;1.0;1.26;0.0077;Todos
FONTIBON;0.86;90%;0.77;0.96;0.0279;Todos
FONTIBON;0.86;95%;0.75;0.98;0.0279;Todos
FONTIBON;0.86;99%;0.72;1.03;0.0279;Todos
KENNEDY;0.83;90%;0.77;0.89;0.0;Todos
KENNEDY;0.83;95%;0.76;0.9;0.0;Todos
KENNEDY;0.83;99%;0.74;0.93;0.0;Todos
PUENTE ARANDA;1.06;90%;0.94;1.2;0.3942;Todos
PUENTE ARANDA;1.06;95%;0.92;1.23;0.3942;Todos
PUENTE ARANDA;1.06;99%;0.88;1.28;0.3942;Todos
SAN CRISTOBAL;0.67;90%;0.6;0.76;0.0;Todos
SAN CRISTOBAL;0.67;95%;0.59;0.78;0.0;Todos
SAN CRISTOBAL;0.67;99%;0.56;0.81;0.0;Todos
SANTA FE;0.75;90%;0.64;0.87;0.0012;Todos
SANTA FE;0.75;95%;0.63;0.89;0.0012;Todos
SANTA FE;0.75;99%;0.59;0.94;0.0012;Todos
SUBA;1.28;90%;1.21;1.35;0.0;Todos
SUBA;1.28;95%;1.2;1.36;0.0;Todos
SUBA;1.28;99%;1.17;1.39;0.0;Todos
TUNJUELITO;0.85;90%;0.75;0.97;0.037;Todos
TUNJUELITO;0.85;95%;0.73;0.99;0.037;Todos
TUNJUELITO;0.85;99%;0.7;1.04;0.037;Todos
USAQUEN;1.18;90%;1.07;1.3;0.005;Todos
USAQUEN;1.18;95%;1.05;1.32;0.005;Todos
USAQUEN;1.18;99%;1.01;1.37;0.005;Todos
USME;1.31;90%;1.22;1.41;0.0;Todos
USME;1.31;95%;1.21;1.43;0.0;Todos
USME;1.31;99%;1.17;1.47;0.0;Todos
